id,news_website_homepage,extracted_keywords,internal_urls,manual_topic_label
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie/breakfast-recipes,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie/food-features,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie/foodie-facts,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie/healthy-recipes,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie/seasonal-festive-recipes,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie/shows,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie/starters-snacks,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/times-drive,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/times-drive/features,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/times-drive/car-reviews,Multimedia
